"state","month_date","median_listing_price","new_listing_count","active_listing_count","pending_listing_count"
"hi",2017 Mar,709562.5,2028,5874,716
"ia",2017 Mar,133397.424242424,4660,11824,3902
"id",2017 Mar,227418.159090909,3708,7487,514
"il",2017 Mar,125548.158415842,21867.3333333333,48041,25865.3333333333
"in",2017 Mar,136060.815217391,9510,20603,6096
"ks",2017 Mar,114742.628712871,4450.75,9294.4375,2273
"ky",2017 Mar,149221.258333333,5684,13799,6927
"la",2017 Mar,183339.59375,5452,16217,4259
"ma",2017 Mar,676633.928571429,8954,14247,2877
"md",2017 Mar,298835.708333333,11166,20223,5179
"me",2017 Mar,217969.5625,2002,9094,892
"mi",2017 Mar,163877.024096386,13224,31727,1862
"mn",2017 Mar,182178.206896552,10722,16307,10453
"mo",2017 Mar,128945.27826087,10270,23624,8062
"ms",2017 Mar,138506.207317073,3148,11818,2038
"mt",2017 Mar,263249.553571429,1670,5887,1731
"nc",2017 Mar,229707.84,18162,48409,15577
"nd",2017 Mar,147698.968409586,966.888888888889,2816.88888888889,1067
"ne",2017 Mar,150026.773647808,2440,4000.15151515152,3793
"nh",2017 Mar,265133,2428,5667,2176
"nj",2017 Mar,310634.523809524,15912,43265,6472
"nm",2017 Mar,186597.666666667,2978,9489,1306
"nv",2017 Mar,250860.6875,5702,9498,7784
"ny",2017 Mar,254769.919354839,19032,57209,13477
"oh",2017 Mar,141851.988636364,15974,32643,14425
"ok",2017 Mar,131293.587719298,6434.66666666667,17246.6666666667,3458
"or",2017 Mar,309780.111111111,6740,11293,1404
"pa",2017 Mar,159517.805970149,17502,47041,17745
"ri",2017 Mar,406290,1596,3136,877
"sc",2017 Mar,193327.456521739,10426,29722,8625
"sd",2017 Mar,164525.072369891,1026.61818181818,3021.93513513514,1253
"tn",2017 Mar,187264.884210526,11144,30323,6026
"tx",2017 Mar,205139.608550947,38772.4444444444,86110.3333333333,37478.8285714286
"ut",2017 Mar,315512.75862069,5544,8808,6675
"va",2017 Mar,253084.5234375,15882,35333,10239
"vt",2017 Mar,245835.714285714,946,5815,733
"wa",2017 Mar,307441.512820513,9822,11592,2038
"wi",2017 Mar,182726.055555556,8412,25866,3900
"wv",2017 Mar,137685.236363636,1978,8138,1159
"wy",2017 Mar,297659.434782609,974,3429,718
"ak",2017 Apr,280872.592217766,1252.8,2742.71111111111,696
"al",2017 Apr,158295.592039801,8032,26174,2802
"ar",2017 Apr,127272.24,4428,15478,3535
"az",2017 Apr,256729.333333333,14768,28842,9189
"ca",2017 Apr,518519.137931034,46760,62097,35079
"co",2017 Apr,368305.90625,12288.2909090909,17448.5272727273,6147
"ct",2017 Apr,346062.625,6696,17554,4913
"dc",2017 Apr,609900,1160,1287,501
"de",2017 Apr,270050,1984,6127,1884
"fl",2017 Apr,256131.895522388,47116,141503,60161
"ga",2017 Apr,181753.572327044,19992,48649,17666
"hi",2017 Apr,709625,2032,5833,746
"ia",2017 Apr,136991.848484848,5036,12165,4693
"id",2017 Apr,229271.454545455,4268,7950,676
"il",2017 Apr,129450.881188119,21558.6666666667,49068,29650.6666666667
"in",2017 Apr,140773.347826087,10564,19769,7224
"ks",2017 Apr,115105.732673267,4497,9496.16666666667,2372.4
"ky",2017 Apr,152379.666666667,5804,14079,7629
"la",2017 Apr,188665.234375,5664,16597,4633
"ma",2017 Apr,688642.785714286,11080,15238,3091
"md",2017 Apr,305058.291666667,11648,21341,5466
"me",2017 Apr,224968.6875,2696,9231,975
"mi",2017 Apr,168334.13253012,14876,32996,2183
"mn",2017 Apr,187909.459770115,12148,17684,13241
"mo",2017 Apr,130786.591304348,10832,23965,10744
"ms",2017 Apr,138740.62601626,3248,12043,2168
"mt",2017 Apr,259054.375,2092,6242,1968
"nc",2017 Apr,234643.23,18360,49784,16967
"nd",2017 Apr,150171.794117647,1104.5,2968.25,1044
"ne",2017 Apr,146281.630634517,2616.43333333333,4082.5541958042,4418.5
"nh",2017 Apr,268234.9,2760,5895,2721
"nj",2017 Apr,320784.095238095,16668,44585,8365
"nm",2017 Apr,188772.636363636,3308,9868,1409
"nv",2017 Apr,255715.625,5968,9550,8619
"ny",2017 Apr,261087.096774194,22164,59149,14602
"oh",2017 Apr,144651.670454545,16844,32684,21062
"ok",2017 Apr,135432.092105263,6268,17473,3586
"or",2017 Apr,317537.5,7456,12060,1534
"pa",2017 Apr,164132.298507463,20044,48242,20562
"ri",2017 Apr,418960,1732,3162,1066
"sc",2017 Apr,203448.869565217,9604,29984,9151
"sd",2017 Apr,167950.750480232,1216.38181818182,3285.36216216216,1268
"tn",2017 Apr,192388.968421053,11836,31027,6590
"tx",2017 Apr,212851.348036426,40508,89199.5,42257.7714285714
"ut",2017 Apr,318148.275862069,5972,9297,7302
"va",2017 Apr,255535.178294574,16632,37145,11640
"vt",2017 Apr,245728.571428571,1116,5804,813
"wa",2017 Apr,318475.641025641,11464,12329,2245
"wi",2017 Apr,186987.541666667,9700,27869,3656
"wv",2017 Apr,138064.818181818,2092,8370,1390
"wy",2017 Apr,300339.130434783,1144,3691,730
"ak",2017 May,276413.643979582,1402.27738095238,3066.30376984127,696
"al",2017 May,158844.940298507,7982,26543,2947
"ar",2017 May,130193.093333333,4540,15668,3577
